[2, 8, 3]
Found new best, iteration = 1000, Error = 0.6380649906766158
Found new best, iteration = 2000, Error = 0.6133847948073206
Found new best, iteration = 3000, Error = 0.5966121910050293
Found new best, iteration = 4000, Error = 0.5863734335628479
Found new best, iteration = 5000, Error = 0.5796148087084017
Found new best, iteration = 6000, Error = 0.5757804773505364
Found new best, iteration = 7000, Error = 0.5688892680386852
Found new best, iteration = 8000, Error = 0.5662399881376756
Found new best, iteration = 9000, Error = 0.5597943759525135
Found new best, iteration = 10000, Error = 0.5512639302144283
Found new best, iteration = 11000, Error = 0.5485793693673903
Found new best, iteration = 12000, Error = 0.5399219088277754
Found new best, iteration = 13000, Error = 0.534396352008264
Found new best, iteration = 14000, Error = 0.5308391300024005
Found new best, iteration = 15000, Error = 0.5273974301308442
Found new best, iteration = 16000, Error = 0.5255926985460493
Found new best, iteration = 17000, Error = 0.5212126434428104
Found new best, iteration = 19000, Error = 0.52028696655505
Found new best, iteration = 20000, Error = 0.5154832258193365
Found new best, iteration = 21000, Error = 0.5132043988200212
Found new best, iteration = 22000, Error = 0.508611359361342
Found new best, iteration = 23000, Error = 0.5064108843475782
Found new best, iteration = 24000, Error = 0.5001948643982427
Found new best, iteration = 25000, Error = 0.4949803595944517
Found new best, iteration = 26000, Error = 0.48969046675849986
Found new best, iteration = 27000, Error = 0.4888390234346865
Found new best, iteration = 28000, Error = 0.4820916560807681
Found new best, iteration = 29000, Error = 0.47870416570574426
Found new best, iteration = 30000, Error = 0.47502286130531934
Found new best, iteration = 31000, Error = 0.47379081212772445
Found new best, iteration = 32000, Error = 0.4736607735082215
Found new best, iteration = 33000, Error = 0.46972429970078444
Found new best, iteration = 34000, Error = 0.46797289716347756
Found new best, iteration = 35000, Error = 0.46747455959720546
Found new best, iteration = 36000, Error = 0.4637117795700674
Found new best, iteration = 37000, Error = 0.46367405936660433
Found new best, iteration = 38000, Error = 0.46149920433777786
Found new best, iteration = 40000, Error = 0.46087115995220584
Found new best, iteration = 41000, Error = 0.45892766045678435
Found new best, iteration = 42000, Error = 0.4573759692595513
Found new best, iteration = 43000, Error = 0.45489601911141714
Found new best, iteration = 44000, Error = 0.4520610066381331
Found new best, iteration = 45000, Error = 0.44915688133263654
Found new best, iteration = 46000, Error = 0.4461305269626654
Found new best, iteration = 48000, Error = 0.44356246377295416
Found new best, iteration = 49000, Error = 0.44205520850745506
Found new best, iteration = 50000, Error = 0.4416770615421898
Found new best, iteration = 51000, Error = 0.4408664645643394
Found new best, iteration = 52000, Error = 0.4407126440175123
Found new best, iteration = 53000, Error = 0.4392010945028861
Found new best, iteration = 54000, Error = 0.4356581411357303
Found new best, iteration = 56000, Error = 0.43306116719411414
Found new best, iteration = 57000, Error = 0.4304167532813756
Found new best, iteration = 58000, Error = 0.428291181469526
Found new best, iteration = 59000, Error = 0.42677917699363466
Found new best, iteration = 60000, Error = 0.4257851559309123
Found new best, iteration = 61000, Error = 0.42466667094005905
Found new best, iteration = 62000, Error = 0.4221787325067057
Found new best, iteration = 64000, Error = 0.4196193893742588
Found new best, iteration = 65000, Error = 0.4185700008036823
Found new best, iteration = 66000, Error = 0.4160692094482176
Found new best, iteration = 67000, Error = 0.4148067573719556
Found new best, iteration = 68000, Error = 0.41139321841126075
Found new best, iteration = 69000, Error = 0.4096620413069416
Found new best, iteration = 70000, Error = 0.4088017358776014
Found new best, iteration = 71000, Error = 0.40863026580998496
Found new best, iteration = 73000, Error = 0.4081754131719451
Found new best, iteration = 74000, Error = 0.4075957136264077
Found new best, iteration = 77000, Error = 0.40734076467123426
Found new best, iteration = 78000, Error = 0.4039390904263212
Found new best, iteration = 79000, Error = 0.4014713689142012
Found new best, iteration = 80000, Error = 0.39992768862661177
Found new best, iteration = 81000, Error = 0.3997458132194868
Found new best, iteration = 84000, Error = 0.39972041420796744
Found new best, iteration = 86000, Error = 0.3990493030641603
Found new best, iteration = 89000, Error = 0.397533664718398
Found new best, iteration = 90000, Error = 0.3961077945364937
Found new best, iteration = 94000, Error = 0.39585286492000205
Found new best, iteration = 96000, Error = 0.3946545677657658
Found new best, iteration = 97000, Error = 0.3943803553877956
Found new best, iteration = 99000, Error = 0.39319393690061316
Found new best, iteration = 101000, Error = 0.3928470804021604
Found new best, iteration = 103000, Error = 0.39185422121271984
Found new best, iteration = 104000, Error = 0.39167371638224213
Found new best, iteration = 105000, Error = 0.3910720111261846
Found new best, iteration = 106000, Error = 0.39096602039851197
Found new best, iteration = 107000, Error = 0.39027583267136734
Found new best, iteration = 109000, Error = 0.3893990747093956
Found new best, iteration = 110000, Error = 0.3888261180571372
Found new best, iteration = 111000, Error = 0.38672054805239986
Found new best, iteration = 112000, Error = 0.38546980387711566
Found new best, iteration = 113000, Error = 0.3830816529372563
Found new best, iteration = 114000, Error = 0.3812188196820843
Found new best, iteration = 115000, Error = 0.37969290085502017
Found new best, iteration = 116000, Error = 0.37895586451632257
Found new best, iteration = 118000, Error = 0.3788148665468768
Found new best, iteration = 119000, Error = 0.37824598838462425
Found new best, iteration = 121000, Error = 0.3767411630084705
Found new best, iteration = 122000, Error = 0.3753782408815516
Found new best, iteration = 123000, Error = 0.37517660117837404
Found new best, iteration = 124000, Error = 0.37445875638994097
Found new best, iteration = 128000, Error = 0.3739527042218774
Found new best, iteration = 129000, Error = 0.3732585829040039
Found new best, iteration = 130000, Error = 0.3716532140578636
Found new best, iteration = 132000, Error = 0.3703622830401585
Found new best, iteration = 133000, Error = 0.3697723194023735
Found new best, iteration = 134000, Error = 0.3685216037565421
Found new best, iteration = 139000, Error = 0.3682619210223405
Found new best, iteration = 140000, Error = 0.3681212354365411
Found new best, iteration = 141000, Error = 0.36742475870095526
Found new best, iteration = 142000, Error = 0.36691611645618805
Found new best, iteration = 143000, Error = 0.3667205674074856
Found new best, iteration = 144000, Error = 0.3658637801186831
Found new best, iteration = 145000, Error = 0.36546122967626454
Found new best, iteration = 146000, Error = 0.36469707218937264
Found new best, iteration = 159000, Error = 0.3609284464490855
Found new best, iteration = 162000, Error = 0.3596517309902434
Found new best, iteration = 167000, Error = 0.3595651459314306
Found new best, iteration = 169000, Error = 0.35918687692519746
Found new best, iteration = 170000, Error = 0.35789272950575046
Found new best, iteration = 173000, Error = 0.35668691510694917
Found new best, iteration = 175000, Error = 0.3566168738225417
Found new best, iteration = 177000, Error = 0.3558875634037274
Found new best, iteration = 178000, Error = 0.3552318802785205
Found new best, iteration = 180000, Error = 0.3541459223671233
Found new best, iteration = 181000, Error = 0.3528475022636858
Found new best, iteration = 182000, Error = 0.35268930475520927
Found new best, iteration = 183000, Error = 0.35262312836646004
Found new best, iteration = 184000, Error = 0.3508705164729541
Found new best, iteration = 187000, Error = 0.3492426318814966
Found new best, iteration = 188000, Error = 0.34811547581864466
Found new best, iteration = 189000, Error = 0.3471946204895756
Found new best, iteration = 194000, Error = 0.3457406569288446
Found new best, iteration = 196000, Error = 0.3446625037568012
Found new best, iteration = 197000, Error = 0.3444887136978624
Found new best, iteration = 198000, Error = 0.3436680285064259
Found new best, iteration = 199000, Error = 0.3429818404581825
Found new best, iteration = 201000, Error = 0.34227251726136987
Found new best, iteration = 202000, Error = 0.3413295419188697
Found new best, iteration = 203000, Error = 0.3399949253558018
Found new best, iteration = 204000, Error = 0.33904741998793564
Found new best, iteration = 205000, Error = 0.3389250692675603
Found new best, iteration = 209000, Error = 0.33828798390544446
Found new best, iteration = 212000, Error = 0.3372333155304725
Found new best, iteration = 213000, Error = 0.33702981874245197
Found new best, iteration = 214000, Error = 0.33649854571714954
Found new best, iteration = 215000, Error = 0.3364114153333372
Found new best, iteration = 217000, Error = 0.33634459237745495
Found new best, iteration = 218000, Error = 0.33632273126616047
Found new best, iteration = 220000, Error = 0.335454928344836
Found new best, iteration = 223000, Error = 0.33458206888602154
Found new best, iteration = 224000, Error = 0.33438501096470963
Found new best, iteration = 225000, Error = 0.3337450941775354
Found new best, iteration = 227000, Error = 0.33354315618040875
Found new best, iteration = 229000, Error = 0.33345506482130594
Found new best, iteration = 230000, Error = 0.3326304741286285
Found new best, iteration = 234000, Error = 0.3322550252835334
Found new best, iteration = 235000, Error = 0.3317241141973213
Found new best, iteration = 237000, Error = 0.3311116852471141
Found new best, iteration = 238000, Error = 0.3305686734899598
Found new best, iteration = 240000, Error = 0.32942413912962576
Found new best, iteration = 245000, Error = 0.32791810562849716
Found new best, iteration = 247000, Error = 0.3277828609025853
Found new best, iteration = 248000, Error = 0.32670237376988004
Found new best, iteration = 273000, Error = 0.32632221834386077
Found new best, iteration = 277000, Error = 0.32552643180102836
Found new best, iteration = 279000, Error = 0.32522579160802917
Found new best, iteration = 291000, Error = 0.32479252171670575
Found new best, iteration = 298000, Error = 0.32383416599642373
Found new best, iteration = 300000, Error = 0.32306895548082126
Found new best, iteration = 317000, Error = 0.32245269342329175
Found new best, iteration = 319000, Error = 0.3204642817254109
Found new best, iteration = 347000, Error = 0.3197132704545087
